"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"2.063626","0.55167896","0.666606","a"
"-1.6260251","-3.1982183","-3.4070978","a"
"6.5471716","1.2988309","-0.06693714","a"
"1.1685656","2.037372","0.963023","a"
"-0.9268432","2.978681","6.743943","a"
"-0.47205728","-0.24130397","2.7888103","a"
"-2.8982606","-2.1900632","-0.48507556","a"
"2.7146149","1.1694602","0.47524208","a"
"3.0086005","3.1128366","0.21885534","a"
"-2.1837308","6.24086","8.99594","a"
"0.22739765","-0.8417825","0.5201423","a"
"10.608872","-6.5239263","-4.831868","a"
"1.0851798","1.3458076","0.5837768","a"
"2.876202","0.043636873","-0.3003905","a"
"2.5584602","1.1628411","-0.018229509","a"
"-1.1241554","0.25786656","0.3114744","a"
"1.5696255","-0.2322097","0.238482","a"
"0.45218265","-0.95887685","-0.19995348","a"
"-11.277182","2.983231","9.043807","a"
"4.197466","-8.386455","-5.9171705","a"
"-0.9915386","2.934659","0.5748164","a"
"-2.4658291","-1.6743237","4.1012845","a"
"3.14273","-1.2381727","-9.302645","a"
"1.1347172","1.775978","2.552536","a"
"2.2777317","1.0107081","-2.8357458","a"
"-0.17698066","1.3268999","0.46932614","b"
"4.062719","6.748916","5.8409104","b"
"-0.16261919","5.096451","6.8234496","b"
"-0.8637999","1.7258112","2.4015145","b"
"8.816637","2.280149","2.4851825","b"
"-1.9871699","1.7357144","3.8987706","b"
"10.560015","0.49794227","4.1481085","b"
"8.289236","4.9952497","5.620826","b"
"-3.4261503","0.86830384","8.840725","b"
"4.6491213","2.1960146","3.5063314","b"
"1.4597719","2.6348953","1.7053322","b"
"2.791375","0.96513236","0.3110957","b"
"2.9113283","2.2594597","0.84860057","b"
"7.7468348","15.385993","2.1348093","b"
"1.1395512","0.56946045","-0.4283028","b"
"-0.9280039","1.0517672","2.6275241","b"
"-0.9856164","3.0812998","5.3566837","b"
"3.8356636","0.96426684","-0.48872274","b"
"-1.2665637","8.435903","-0.86612886","b"
"2.8268635","5.4542217","3.6228015","b"
"3.7813652","9.261097","12.724389","b"
"-12.8594675","-5.9381266","1.9621797","b"
"-2.32509","0.12974936","4.4123926","b"
"1.2394938","2.51352","4.23615","b"
"2.8985076","-0.024048472","-1.5293778","b"
"-2.7275133","-0.025687909","-5.9301963","c"
"1.5787419","1.343287","-4.3908625","c"
"0.27680197","0.08672169","-1.7971108","c"
"0.011031997","-3.4217918","-1.6207032","c"
"-0.4466185","3.7563353","-0.15312025","c"
"-1.075756","2.3415396","-2.5723262","c"
"1.887091","-0.5040236","2.13417","c"
"-1.9637625","-1.9050469","3.5015814","c"
"-5.575793","-1.8088021","1.4495852","c"
"-2.8078675","-2.0575073","1.9584496","c"
"-2.965532","-1.8717402","3.5217788","c"
"-3.075383","-1.759335","-0.7938532","c"
"-3.6443496","1.9507527","6.2107573","c"
"-3.249733","-1.6387397","0.9285607","c"
"1.9133661","2.35411","-1.0223895","c"
"4.0943666","-5.9575095","-3.8040426","c"
"-3.7357347","-2.731689","2.4848351","c"
"2.7513642","2.0539072","-0.39848003","c"
"-0.7898626","3.1240876","1.4994327","c"
"4.2487273","5.6906614","4.0332723","c"
"-1.5437894","1.5079435","0.7674018","c"
"3.045902","6.5273304","2.1168146","c"
"0.258009","-4.1541615","1.1508577","c"
"2.7134223","-6.2167907","-2.0222597","c"
"3.4053342","-0.9566201","1.4475819","c"
"0.68217844","1.0732847","-1.2594033","d"
"10.718102","3.6714818","-10.537216","d"
"1.4912515","0.15860873","0.069312446","d"
"-0.6174204","-1.2927601","0.24316464","d"
"-3.229087","-0.024652028","0.50757164","d"
"1.0903095","-1.850599","0.32799372","d"
"-0.29277292","0.292239","0.8985356","d"
"1.179462","1.0823263","0.8936564","d"
"3.3941035","-1.3515266","1.7136974","d"
"1.9723587","2.6603003","1.5406517","d"
"-0.6479111","-1.502948","0.3969653","d"
"0.76128197","2.7178485","1.7888215","d"
"1.125342","-0.513966","0.66039103","d"
"-1.9030938","-0.8687209","0.73890865","d"
"-0.11598113","0.28590128","0.32757357","d"
"-1.4401797","1.845827","1.2645469","d"
"2.1038616","-0.167801","-1.6341794","d"
"1.3459519","3.9234424","0.9787643","d"
"2.70381","1.5119239","1.4840027","d"
"0.043704398","0.9033128","2.4576302","d"
"1.5366418","2.3217957","1.320794","d"
"-2.0250032","-2.6703074","-2.0900753","d"
"-0.10177224","0.898204","0.26548928","d"
"0.38508946","1.4435675","1.5753098","d"
"-0.1889126","-1.6199404","-1.43426","d"
"1.7311434","0.7016828","-0.134836","e"
"1.413702","-0.72552186","-0.5788203","e"
"-0.59950453","0.46233955","0.3899817","e"
"3.6402743","1.0982399","-1.1268592","e"
"1.4033118","1.7846464","1.3378905","e"
"-0.17635578","-0.024093764","0.32561812","e"
"0.64700943","-0.7578265","-0.2953447","e"
"0.7937075","2.7533576","1.4661268","e"
"-0.20613691","-0.50160146","-0.7257454","e"
"1.2134547","-0.27118918","-0.12760952","e"
"-2.3542392","-0.017598541","1.5495918","e"
"-3.7278965","1.2783718","3.0734935","e"
"-1.883698","-1.5044144","0.1287736","e"
"-2.7820594","1.4945576","1.2151932","e"
"1.4032751","-0.4854453","-0.7018564","e"
"-0.2826291","-0.37221998","-0.17879407","e"
"-4.4605722","-3.2962852","1.6048855","e"
"2.8915017","6.569658","3.3829653","e"
"-1.0192932","0.3401601","0.45386478","e"
"1.280075","1.0649015","1.5069195","e"
"-0.16066773","2.1026902","2.5787926","e"
"-0.2748643","-1.5111309","0.1977973","e"
"-0.23194838","0.8633948","0.36891565","e"
"-4.997589","-3.38469","1.2515357","e"
"-0.7710589","-0.63333756","0.45848244","e"
"2.841085","2.9557114","0.9707432","f"
"2.432034","3.818898","4.305033","f"
"0.041908782","0.07284742","0.58666027","f"
"-2.3452718","-0.3082498","0.42587903","f"
"-3.9382126","-0.21910195","3.3861601","f"
"1.4263257","-1.355797","-0.21960166","f"
"-3.0579808","-1.6142033","-0.1707703","f"
"-1.5755482","-3.036919","-1.6966469","f"
"-1.6081492","-0.976083","2.5535843","f"
"-0.0682836","1.0526948","1.2780975","f"
"-0.0682836","1.0526948","1.2780975","f"
"1.5818287","0.29484305","-0.9277144","f"
