"fingerlength_1","fingerlength_2","fingerlength_3","fingerlength_4","fingerlength_5","fingerangle_1","fingerangle_2","fingerangle_3","fingerangle_4","fingerdist_12","fingerdist_13","fingerdist_14","fingerdist_15","fingerdist_23","fingerdist_24","fingerdist_25","fingerdist_34","fingerdist_35","fingerdist_45","palmradius","gesture"
"48.929516","41.920948","37.415653","34.45267","34.453426","3.1813604E-4","6.102347E-4","7.2340446E-4","7.534684E-4","38.39886","45.56621","54.522762","60.704292","12.4382105","25.848505","39.832424","13.518737","28.105234","15.835177","31.757774","a"
"53.385414","46.00874","41.39596","39.484707","39.319954","2.9122154E-4","5.001684E-4","5.584598E-4","5.8537954E-4","38.118073","41.54539","48.767155","51.892227","14.205561","31.057922","45.343647","16.990858","32.285564","16.826693","31.472284","a"
"55.465008","46.697002","41.69384","39.181217","39.266983","2.780481E-4","4.905559E-4","5.614059E-4","5.8320485E-4","39.070263","45.322685","55.343315","59.604855","14.137378","30.6954","45.503605","16.646227","32.43338","17.778961","32.381287","a"
"55.65825","46.659256","41.775322","39.321896","39.21451","2.7898763E-4","4.901051E-4","5.5547414E-4","5.85998E-4","38.881786","44.445873","54.129105","58.09147","14.073056","31.106117","45.530685","17.134499","32.51653","17.242378","32.646893","a"
"54.77382","46.56603","41.695736","39.287952","39.100548","2.784611E-4","4.9187744E-4","5.56283E-4","5.8865617E-4","39.312557","43.88347","52.58406","55.951317","14.083372","31.19352","45.613808","17.219276","32.60463","17.149778","31.437777","a"
"54.31872","46.264305","41.333145","38.762314","39.336975","2.710133E-4","4.992467E-4","5.7214603E-4","5.9048E-4","40.839577","44.3141","51.318565","53.376434","14.057987","30.477798","45.17591","16.54125","32.257584","17.441128","30.608362","a"
"54.094227","45.644688","40.725025","38.576885","39.44422","2.7102622E-4","5.114846E-4","5.863466E-4","5.8939843E-4","41.29149","44.812237","50.800945","52.295967","14.392962","30.120167","45.00623","15.883464","31.980509","17.738865","30.435297","a"
"55.403362","47.961617","40.792587","38.715603","39.379807","2.6967775E-4","4.8347528E-4","5.773674E-4","5.922073E-4","39.516018","47.027306","54.541496","56.21398","16.218845","32.53528","45.950256","16.815826","32.15887","17.220943","34.011887","a"
"55.542538","49.575676","41.4123","38.915195","39.31856","2.6895455E-4","4.6095182E-4","5.649214E-4","5.91572E-4","38.26549","46.98793","55.150814","57.50714","16.93861","33.42732","46.597984","17.175539","32.414448","17.041004","32.853077","a"
"56.737","48.360916","41.232872","38.57874","39.26017","2.6251783E-4","4.759643E-4","5.791621E-4","5.911132E-4","40.062614","48.287743","56.257824","59.78725","15.931097","31.563347","46.152683","16.046354","32.34555","17.82159","31.323534","a"
"54.635777","44.663353","40.907494","38.918797","39.45916","2.7067302E-4","5.238602E-4","5.7623436E-4","5.873813E-4","41.908855","45.987473","51.47989","52.371044","13.067883","29.091032","43.42165","16.338512","32.0788","17.353872","30.482834","a"
"53.589783","43.555805","39.042267","37.732235","39.312996","3.0942023E-4","5.458082E-4","6.108211E-4","6.13394E-4","37.381584","43.710403","49.147537","49.275444","16.270067","32.642544","44.907787","17.229057","31.827692","16.426672","30.479834","a"
"70.602036","74.25466","40.001858","37.54949","39.14397","1.714612E-4","2.0659494E-4","6.0225895E-4","6.238014E-4","32.76402","56.07325","72.11328","83.37416","58.893127","71.21902","77.82199","17.103712","31.540554","15.712118","42.69966","a"
"65.9778","49.1846","39.845573","37.326477","38.8592","2.743861E-4","4.5910716E-4","6.112786E-4","6.3073204E-4","31.516397","52.14828","66.99818","77.399315","21.912174","36.902313","48.52853","16.630781","31.2314","15.790179","37.731804","a"
"56.360092","45.847897","40.016655","37.812504","38.77202","3.1350696E-4","5.14587E-4","6.01983E-4","6.2236155E-4","33.044056","43.382473","53.220596","58.943966","15.463267","31.442162","44.7137","16.56995","31.420317","16.053217","31.694267","a"
"55.497444","46.00286","40.27005","38.131268","38.800934","3.0555725E-4","5.1129016E-4","5.923263E-4","6.17141E-4","34.82777","42.131523","51.253674","56.25567","15.11793","31.65299","45.27254","16.803835","31.5896","16.05166","32.541195","a"
"55.534515","49.25497","40.978474","38.462254","38.80398","2.9955668E-4","4.6648172E-4","5.756633E-4","6.1105017E-4","32.054356","42.106148","50.611443","54.942444","17.449242","33.766567","46.702698","17.276903","32.169296","16.212292","32.246227","a"
"63.30186","49.02109","40.71504","38.15527","38.750454","2.7989023E-4","4.5472957E-4","5.875639E-4","6.161801E-4","31.935045","51.601536","64.92205","73.30345","20.925125","35.40235","46.76121","16.659962","31.552452","16.229769","37.753757","a"
"67.85896","51.12635","40.228004","37.914867","38.65528","2.3881189E-4","4.1060805E-4","5.990961E-4","6.2112196E-4","38.337627","60.513138","74.78705","84.92555","27.539106","41.087387","51.393784","16.383175","31.340677","16.229994","39.298347","a"
"67.97192","55.059418","40.302185","37.838757","38.621136","2.452517E-4","3.707991E-4","5.99717E-4","6.2268355E-4","27.957138","54.153","68.87585","79.666115","31.688423","44.928204","54.946854","16.329737","31.371887","16.239883","38.680058","a"
"66.88633","54.24509","40.268253","37.780197","38.620922","2.5719887E-4","3.8550462E-4","6.012981E-4","6.2400376E-4","25.39012","51.63757","66.205635","76.87244","29.753374","43.257195","53.72828","16.293766","31.315691","16.18403","38.689064","a"
"65.99642","53.78824","40.25385","37.747746","38.627026","2.6531305E-4","3.9333545E-4","6.0222816E-4","6.247657E-4","23.709116","49.97912","64.38064","74.94206","28.73357","42.389103","53.138893","16.258793","31.268827","16.13777","37.935043","a"
"65.92826","54.415863","40.36434","37.78779","38.635803","2.6517964E-4","3.884564E-4","6.002512E-4","6.240536E-4","21.946533","48.74065","63.172245","73.82629","29.02065","42.731735","53.551804","16.255957","31.27324","16.134342","38.43773","a"
"68.994194","57.19601","40.430477","37.778606","38.603027","2.3818883E-4","3.6047734E-4","5.996342E-4","6.245953E-4","24.763311","51.984936","66.95716","78.408676","32.41475","45.9215","56.48624","16.247665","31.312006","16.142784","39.863907","a"
"68.92673","50.781376","40.137043","37.57177","38.57553","2.4922084E-4","4.4025984E-4","6.079704E-4","6.2882825E-4","34.972195","55.68783","70.30939","81.542305","23.060183","37.477386","49.499416","16.044329","31.033564","16.057816","37.826553","a"
"60.620743","47.605556","39.946095","37.53051","38.510857","2.9675898E-4","4.8978603E-4","6.1344093E-4","6.296837E-4","31.593534","47.87733","59.951347","67.997086","17.876167","32.43942","44.938644","15.706659","30.623417","16.150103","33.54418","a"
"57.317352","46.67724","40.04744","37.731956","38.57142","2.884793E-4","5.084299E-4","6.1069516E-4","6.194096E-4","36.527534","45.217815","54.969753","61.392204","15.144368","30.43931","45.13736","15.448762","31.191715","16.955564","31.590784","a"
"56.596245","46.061604","39.986668","38.046635","38.859787","2.836067E-4","5.1518215E-4","6.0341257E-4","6.1280467E-4","38.340897","45.286453","54.963776","59.655724","15.006167","30.864569","45.005817","15.913712","30.981913","16.689852","31.554937","a"
"54.242134","42.013813","38.99077","38.027973","38.946278","3.1445798E-4","5.8276544E-4","6.2106457E-4","6.13458E-4","37.96199","44.698963","51.043083","53.760574","12.557624","27.299736","40.819027","15.348091","30.512228","16.483181","30.305351","a"
"60.252037","44.505505","37.987267","37.186234","38.64941","3.4481607E-4","5.1772967E-4","6.448149E-4","6.354473E-4","25.536499","45.924786","57.80913","65.23636","21.544092","35.794113","47.036972","15.888954","30.397602","15.855899","37.86537","a"
"63.57562","52.551098","38.8577","37.32797","38.07234","2.923858E-4","4.093165E-4","6.287219E-4","6.441214E-4","16.619719","45.73815","59.278923","67.74131","29.291342","42.97082","52.490097","16.05539","30.069178","15.524515","37.56712","a"
"67.52585","63.571545","38.949127","37.343304","38.012016","2.2708294E-4","3.0307221E-4","6.2714843E-4","6.4381905E-4","15.230063","49.594284","64.07896","73.74387","42.920773","55.51582","63.47288","16.06373","30.22621","15.649001","41.713387","a"
"70.69764","70.81629","39.27076","37.325947","38.027027","1.8278032E-4","2.5263746E-4","6.226691E-4","6.4385054E-4","29.157274","55.26579","70.45372","81.17749","51.471703","63.434223","70.50036","16.113848","30.360195","15.651631","40.2025","a"
"66.06117","47.773968","39.10549","37.086285","37.99885","2.7939238E-4","4.8147372E-4","6.3005474E-4","6.4816396E-4","32.87448","53.241966","67.48563","77.1664","21.228563","35.811687","47.18203","15.944845","30.236063","15.648225","37.807583","a"
"56.610725","46.270428","39.429726","37.488617","38.104424","3.0887124E-4","5.176545E-4","6.1800337E-4","6.376938E-4","33.27505","43.43327","53.023727","58.415623","15.798168","31.392973","44.5282","16.107656","30.779318","15.963617","31.334782","a"
"57.24474","49.734253","40.041134","37.913074","38.20687","2.971804E-4","4.683591E-4","6.019227E-4","6.2806375E-4","30.542368","43.26547","51.930916","56.516945","19.026564","34.046104","46.495857","16.319998","31.152994","16.170162","33.4051","a"
"66.22301","47.80467","39.78874","37.608383","38.24419","2.7003247E-4","4.7784369E-4","6.1190565E-4","6.3300313E-4","35.471","54.65766","68.10381","77.0513","20.26854","34.327015","45.769867","16.037336","30.81258","16.062527","37.671505","a"
"61.77337","45.487583","39.367382","37.073444","38.081783","3.0070436E-4","5.142531E-4","6.250995E-4","6.442103E-4","33.712788","50.689236","63.59319","72.077225","17.910797","33.034744","45.54325","16.161327","30.952248","16.016426","35.67924","a"
"59.758408","44.47263","38.79684","36.74135","37.942833","3.058159E-4","5.380797E-4","6.396029E-4","6.5198843E-4","35.056843","48.691883","60.63918","68.389175","16.711868","32.27595","45.62445","15.996868","30.811897","15.981017","36.649387","a"
"60.764225","49.715523","39.198334","37.02915","38.119316","3.078138E-4","4.5040302E-4","6.2863564E-4","6.446854E-4","23.360508","46.68068","59.90243","69.327194","24.231438","38.647625","50.471733","16.088879","30.993156","15.97783","38.219006","a"
"63.389156","52.527256","39.63319","37.208023","38.186256","2.9234568E-4","4.136882E-4","6.1908603E-4","6.417753E-4","17.176832","44.275524","58.147934","68.06628","27.277552","41.502216","52.62995","16.205683","30.924982","15.856562","36.43812","a"
"63.466366","54.572186","39.869442","37.37047","38.12525","2.8395143E-4","3.9187694E-4","6.13643E-4","6.402795E-4","13.915549","43.01985","56.778587","66.77701","29.282246","43.27638","54.217438","16.175516","30.908314","15.831387","37.320644","a"
"65.90273","65.214966","39.991047","37.382366","38.070457","2.2952793E-4","2.9596896E-4","6.1145244E-4","6.403632E-4","10.80403","45.48389","59.9508","70.68987","42.732506","55.75792","65.21025","16.237257","31.048803","15.900438","42.463974","a"
"66.06055","65.94684","39.99412","37.361862","38.07846","2.2451408E-4","2.9793073E-4","6.1185844E-4","6.405163E-4","13.8165245","46.29747","60.888226","71.79412","42.467697","55.44814","65.0041","16.221174","31.054525","15.907115","39.534176","a"
"65.10411","53.51705","39.890594","37.25635","38.087025","2.6571323E-4","4.1185223E-4","6.153187E-4","6.422265E-4","25.521809","49.79047","64.17307","74.769394","26.482306","40.89312","52.507244","16.160307","30.968096","15.886867","38.41292","a"
"59.98286","51.487404","39.815536","37.295834","38.090378","2.9445783E-4","4.480086E-4","6.1727414E-4","6.4056047E-4","25.136253","44.175957","56.43462","64.45991","21.696144","36.236637","48.212","15.9364195","30.66903","16.011724","32.640224","a"
"57.83174","50.444088","39.82646","37.534462","38.08859","3.0335638E-4","4.643846E-4","6.162645E-4","6.3564174E-4","26.939026","41.64583","51.355648","57.88925","19.548143","33.770252","46.47642","15.516057","30.547441","16.163445","31.509756","a"
"67.710884","54.2794","40.03803","37.632797","38.14115","2.5507956E-4","3.9251824E-4","6.1230204E-4","6.323925E-4","25.295286","52.437668","65.70335","75.408264","29.01019","41.92761","52.488575","15.462329","30.542467","16.284891","37.013973","a"
"69.30284","49.34613","39.914066","37.494457","38.163685","2.5467738E-4","4.4719892E-4","6.159845E-4","6.3457637E-4","35.789806","57.41312","71.2298","81.76034","23.63255","37.07759","48.43277","15.483863","30.551092","16.237183","38.177673","a"
"66.65796","50.914257","39.833763","37.408443","38.189575","2.6843906E-4","4.3027842E-4","6.17041E-4","6.3600147E-4","29.183907","52.723793","66.763855","77.37794","25.28506","39.06224","50.45077","15.681098","30.69063","16.17904","38.33314","a"
"66.52257","55.973335","39.934666","37.43685","38.252216","2.5422114E-4","3.7576616E-4","6.145933E-4","6.348253E-4","22.561695","50.474148","64.65938","75.3175","31.18958","44.604954","55.206444","15.777493","30.749496","16.156088","39.303635","a"
"53.526875","45.222023","38.313934","36.992523","37.190437","2.923731E-4","5.5265136E-4","6.4221135E-4","6.553308E-4","38.52233","41.01336","48.448647","51.858006","13.958832","29.93755","44.326893","16.007122","30.892506","16.457111","32.349552","a"
"54.44298","46.46935","38.497","37.08199","37.360397","2.8325E-4","5.3476857E-4","6.355593E-4","6.508379E-4","38.69793","42.943344","51.307133","55.33253","14.785432","31.011446","45.384758","16.3309","31.310322","16.508526","33.801853","a"
"60.37592","50.672264","38.853176","36.888668","37.652786","3.036859E-4","4.4671187E-4","6.3286367E-4","6.539931E-4","22.978924","46.336502","59.850567","69.04455","24.784235","39.43184","51.07557","16.441055","31.23353","15.972546","38.559322","a"
