"fingerlength_1","fingerlength_2","fingerlength_3","fingerlength_4","fingerlength_5","fingerangle_1","fingerangle_2","fingerangle_3","fingerangle_4","fingerdist_12","fingerdist_13","fingerdist_14","fingerdist_15","fingerdist_23","fingerdist_24","fingerdist_25","fingerdist_34","fingerdist_35","fingerdist_45","palmradius","gesture"
"53.268105","44.634846","40.473927","39.630363","40.018475","2.7753666E-4","5.133456E-4","5.719568E-4","5.754538E-4","41.132774","45.16285","46.804546","42.08399","16.723778","31.948954","43.085697","16.298416","30.597845","16.650837","29.987497","a"
"60.189213","45.426075","37.463566","36.443413","37.8652","3.2715642E-4","5.4156233E-4","6.699547E-4","6.6536834E-4","28.193428","45.308044","57.07669","64.64006","18.168676","32.11942","43.573364","15.296741","29.188396","15.095424","36.89501","a"
"67.73432","41.121998","39.316982","38.582592","38.833744","2.5625175E-4","5.888153E-4","6.1822095E-4","6.135629E-4","47.987568","60.469067","72.181206","80.348434","12.589471","25.399652","37.417393","13.755544","27.96835","15.5523","37.102497","a"
"51.551353","41.428123","37.655754","38.139885","38.833115","2.5385755E-4","5.8808934E-4","6.4643816E-4","6.1866513E-4","45.36614","43.178413","43.17537","38.56068","16.488485","30.6126","42.88007","14.348536","28.299229","15.761276","29.573534","a"
"53.272602","43.311665","40.10763","39.36198","39.84214","2.666007E-4","5.3387875E-4","5.8812444E-4","5.824754E-4","43.304043","46.022026","48.293663","44.4912","16.200058","30.672579","42.704975","15.045636","29.481188","16.480762","30.1337","a"
"57.847794","44.25746","40.436253","39.37486","39.05102","2.781263E-4","5.282706E-4","5.79863E-4","5.9495604E-4","40.731724","48.000217","55.798103","57.450943","14.492758","29.841404","42.353138","15.670105","29.90136","16.187992","34.29673","a"
"62.822315","77.10778","37.544617","37.34561","38.137127","2.0029888E-4","1.9836226E-4","6.584974E-4","6.4538966E-4","22.184364","49.378098","61.857624","69.5449","63.484573","73.55051","78.17408","14.667479","28.218946","15.191732","41.535023","a"
"61.38615","48.257946","37.38893","36.420807","37.73808","3.1296138E-4","4.727067E-4","6.77102E-4","6.6809513E-4","24.580893","49.276855","61.396553","70.132805","25.474009","38.03951","48.50556","14.603991","28.624783","15.047222","38.041092","a"
"65.798386","53.113503","37.700024","36.11162","37.336025","2.6566663E-4","4.2052483E-4","6.7611196E-4","6.7926105E-4","25.7105","51.727005","65.23942","76.0528","29.497875","42.09376","52.801247","14.801438","29.059113","15.115667","38.126972","a"
"69.240486","70.83585","38.149616","36.533745","37.76279","1.8167973E-4","2.4842002E-4","6.6209637E-4","6.666073E-4","32.725014","57.685177","71.392395","82.273926","53.336773","63.99937","71.422966","14.758649","28.789337","14.939253","41.666058","a"
"52.750717","43.460365","38.925854","37.47756","37.989037","2.997505E-4","5.486349E-4","6.2972197E-4","6.3288264E-4","38.994236","44.258526","50.866787","51.5984","16.238434","31.429422","44.470097","15.472598","30.25631","16.79274","30.30891","a"
"66.851234","64.15438","38.823307","37.555836","37.912785","2.2106197E-4","2.964928E-4","6.2873407E-4","6.387158E-4","21.272795","51.322853","65.85597","75.54886","44.095802","56.29183","63.492058","15.635102","29.852402","16.063438","40.59851","a"
"64.23265","89.86488","39.832253","37.767498","37.975124","1.4651142E-4","8.46872E-5","6.12897E-4","6.39095E-4","49.37923","45.98552","59.67004","69.323746","86.557014","95.765854","98.92963","15.455824","29.641216","15.4678335","46.885822","a"
"63.370525","76.15004","39.75901","37.646557","38.035347","1.9882762E-4","2.163872E-4","6.161332E-4","6.407312E-4","23.546251","45.66625","59.487034","69.6056","58.416687","69.56065","76.43012","15.404458","29.625364","15.379239","41.52611","a"
"62.782597","79.39275","39.630085","37.538765","38.032207","1.9329935E-4","1.9958965E-4","6.196756E-4","6.428094E-4","25.294083","44.415363","58.038296","68.0098","62.626602","73.69283","80.38922","15.38954","29.597406","15.334981","43.95815","a"
"62.815685","83.40504","39.562325","37.475143","38.033714","1.8285697E-4","1.8209305E-4","6.2163814E-4","6.440307E-4","29.391535","44.341892","57.91483","67.84269","67.50051","78.38997","84.76118","15.385087","29.575115","15.303904","43.875893","a"
"66.318344","61.589195","39.381466","37.309406","37.97735","2.3278041E-4","3.3135008E-4","6.2688376E-4","6.477145E-4","20.600004","49.374313","63.656612","74.447815","38.019966","50.62676","60.037685","15.369072","29.548008","15.281199","39.586742","a"
"63.480766","73.6453","39.27729","37.251644","38.002117","2.0868263E-4","2.385268E-4","6.2975637E-4","6.486124E-4","18.20508","45.317116","58.904896","69.0244","54.541706","66.04704","73.77215","15.29834","29.486559","15.236633","41.021675","a"
"70.72939","44.580994","38.250843","36.52312","37.446533","2.477847E-4","5.3899427E-4","6.611844E-4","6.6559E-4","45.41884","61.66776","75.13636","85.898766","17.773422","31.180906","43.202126","14.702728","29.289381","15.690817","36.119324","a"
"66.3221","49.40713","39.746082","37.4309","37.79187","2.7613802E-4","4.4514067E-4","6.224657E-4","6.449918E-4","30.161608","53.18843","66.27483","75.56609","24.241423","37.206245","47.662216","15.012003","29.460594","15.747374","36.704525","a"
"70.48432","78.780266","39.75963","37.328808","37.836983","1.5540184E-4","1.6876982E-4","6.2199065E-4","6.4600824E-4","39.890713","57.499096","71.733345","82.29933","66.89925","77.0009","81.49895","15.29836","29.605715","15.736353","42.827793","a"
"53.35266","44.06445","40.532223","39.410557","37.93562","3.025801E-4","5.260282E-4","5.8207643E-4","5.9116486E-4","37.992977","42.95113","51.009895","51.02419","15.118813","29.976229","43.53876","15.016953","30.466736","18.696012","30.445631","a"
"61.181053","54.386013","38.458897","37.31524","38.315872","2.9467404E-4","3.4295078E-4","6.3717045E-4","6.3770165E-4","13.2651415","49.684525","63.003387","69.642166","37.896896","50.8188","57.48902","15.715683","29.338278","15.915859","36.7652","a"
"67.047874","49.777885","37.002785","36.06642","37.393852","2.6889384E-4","4.7848662E-4","6.883589E-4","6.800536E-4","31.350979","53.481396","66.87792","76.723785","24.502018","37.146698","47.607777","14.764693","28.638916","15.006698","37.338398","a"
"45.36505","38.13272","31.410904","30.81051","32.11472","3.923091E-4","7.710179E-4","9.1942016E-4","9.0626336E-4","34.1189","35.12837","38.645847","39.478405","15.113373","29.516214","41.364414","14.6170025","27.606403","14.355613","26.940744","a"
"42.213356","82.99737","92.63506","86.73554","71.792404","5.1319563E-5","1.2764221E-4","1.229164E-4","1.5634556E-4","86.08493","89.314835","80.74864","66.34668","19.475964","29.769724","44.890682","15.297719","37.487514","23.507938","87.30237","b"
"41.545174","83.82276","92.50964","86.33031","71.75558","6.074239E-5","1.2591544E-4","1.2287262E-4","1.5418426E-4","85.31689","88.381294","80.07976","61.69237","21.011063","34.760662","55.147095","18.350595","44.705853","27.720545","62.600784","b"
"41.899754","83.929596","92.32721","85.643524","70.40474","6.2045525E-5","1.2627793E-4","1.2390585E-4","1.5920504E-4","85.23598","87.275345","76.6331","57.1258","20.082994","34.490074","53.892517","19.101995","44.487347","26.740934","44.84029","b"
"42.22909","82.29699","91.165054","84.68776","68.01509","1.2524477E-4","1.3144649E-4","1.279573E-4","1.6988153E-4","74.3687","78.52082","70.61451","54.825474","16.906765","26.84095","41.64279","15.124566","36.68013","22.920887","78.37092","b"
"42.403458","82.51566","91.78185","85.63531","68.37969","1.0983012E-4","1.3013584E-4","1.2533471E-4","1.662098E-4","76.92636","81.469986","73.68591","54.504025","17.445356","28.811544","44.542587","16.49165","39.23797","24.712694","47.252926","b"
