"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"-1.0299044","-0.92540246","2.033528","a"
"68.774666","61.118347","-9.475022","a"
"-8.648666","39.275238","13.853152","a"
"-153.1345","10.488445","9.258607","a"
"-87.29639","53.64738","-29.001526","a"
"10.623763","-10.542828","94.23236","a"
"92.845276","11.560405","6.4526978","a"
"71.0853","40.270676","-101.98795","a"
"-71.60532","44.50716","-56.67142","a"
"-110.89469","20.47101","11.635495","a"
"-62.68272","-10.103934","182.82289","a"
"44.287724","49.6226","72.71674","a"
"141.44441","9.989526","-105.853294","a"
"113.959045","-24.00898","-41.987133","a"
"-9.2992735","-37.93176","54.835674","a"
"-108.61727","-42.30234","97.147285","a"
"-112.151344","-9.320525","35.750916","a"
"-52.70413","34.378445","-19.60106","a"
"23.820175","42.388844","-44.38852","a"
"27.03071","29.725784","-42.972805","a"
"-95.18707","33.062077","-5.406841","a"
"-8.328506","-21.69898","123.2707","a"
"55.92641","-19.582567","88.7478","a"
"135.30974","17.84854","-50.830585","a"
"111.77163","36.36054","-179.36711","a"
"-23.608755","-2.585181","-127.91821","a"
"-101.67332","-13.547916","-35.31986","a"
"-104.584595","-9.843459","38.61907","a"
"-74.33462","-28.951761","112.82407","a"
"7.1969504","-27.433517","128.3516","a"
"29.034994","11.174343","109.57715","a"
"83.78994","11.385331","-42.53631","a"
"151.54057","-1.1934382","-140.27173","a"
"21.444054","-52.907715","57.749897","a"
"-74.60253","-22.85124","76.04777","a"
"-61.83959","-8.642836","-50.25353","a"
"16.2546","-30.603964","-163.70293","a"
"-30.54399","-39.0369","-74.8605","a"
"-99.69767","-18.287079","64.13394","a"
"-60.792942","5.1887984","108.049194","a"
"-23.19629","-4.740151","147.66858","a"
"28.06314","28.917673","24.774485","a"
"82.284904","17.03534","-66.92813","a"
"116.40281","-26.20259","-56.783573","a"
"72.78061","-24.58896","-33.77698","a"
"-48.994583","-31.365953","102.09903","a"
"-90.28503","-10.759269","15.180874","a"
"-75.8464","7.9837174","-132.30266","a"
"-69.78402","7.323355","-51.809376","a"
"-48.186615","-3.2892253","140.82361","a"
"-13.229202","-13.387668","62.04503","a"
"-108.18625","37.057407","46.04025","a"
"-90.4647","-4.1145763","-66.90531","a"
"-45.476254","-16.527308","-8.390431","a"
"-23.768934","-37.720837","171.7347","a"
"39.2217","5.4055195","132.94919","a"
"123.11561","11.305977","-184.72803","a"
"148.17638","26.883821","-167.17812","a"
"51.097347","-18.850552","158.65607","a"
"-49.162598","-38.81438","62.029957","a"
"-133.86403","0.18903732","-17.2497","a"
"-60.194916","60.431564","-39.09501","a"
"49.22613","2.7725203","-110.516914","a"
"70.16297","19.375467","-106.40634","a"
"177.02306","36.701347","-132.30309","a"
"186.74854","21.731009","10.382907","a"
"78.01679","-12.5809555","121.094444","a"
"-100.169334","-43.689987","228.29585","a"
"-178.03003","-73.319214","76.43388","a"
"-139.10307","-0.9322243","-46.559216","a"
"-177.09315","-26.238253","-92.169655","a"
"-83.663605","83.81262","-150.67444","a"
"261.42056","20.469244","-51.24881","a"
"136.64","-10.166373","64.08407","a"
"212.90077","53.610977","-156.0985","a"
"81.38348","12.438148","-80.02183","b"
"-0.76394004","0.024938377","1.9940826","b"
"-27.534164","37.409286","-78.179436","b"
"-132.93846","-21.56455","47.61548","b"
"0.71121216","8.324932","246.96333","b"
"140.15448","-23.633345","220.18585","b"
"184.53302","-37.23341","-165.05515","b"
"22.895493","-4.8292003","-162.33311","b"
"-107.90652","-6.4224954","-215.47139","b"
"-173.04932","-27.532364","55.55078","b"
"37.002483","-130.71117","217.09155","b"
"213.56938","-77.8993","-20.251902","b"
"1.6045074","24.017836","-79.34753","b"
"-259.46445","27.657705","12.817424","b"
"-18.120829","141.29105","-44.48808","b"
"218.9552","91.68173","-26.730932","b"
